lexemesId	meaning	before	after	comment	ignore	verb_type	number	gender
364	rent				0	n/a	n/a	n/a
365	proof		(by trial)		0	n/a	n/a	n/a
365	scrutiny				0	n/a	n/a	n/a
366	prove				0	n/a	n/a	n/a
366	examine				0	n/a	n/a	n/a
366	inspect				0	n/a	n/a	n/a
367	idle				0	n/a	n/a	n/a
367	vain				1	n/a	n/a	n/a
368	carefully				0	n/a	n/a	n/a
369	eagerness				0	n/a	n/a	n/a
370	idle	be			0	n/a	n/a	n/a
370	cease				1	n/a	n/a	n/a
370	care			(w/*L*)	1	n/a	n/a	n/a
370	annul				0	n/a	n/a	n/a
371	idle				0	n/a	n/a	n/a
371	vain				0	n/a	n/a	n/a
371	useless				0	n/a	n/a	n/a
372	cause	without			0	n/a	n/a	n/a
373	conceive				0	n/a	n/a	n/a
374	conception				0	n/a	n/a	n/a
375	pregnant				0	n/a	n/a	n/a
376	comfort				0	n/a	n/a	n/a
376	encouragement				0	n/a	n/a	n/a
377	comfort				0	n/a	n/a	n/a
377	encourage				0	n/a	n/a	n/a
378	comforter				1	n/a	n/a	n/a
378	consoler				0	n/a	n/a	n/a
378	exhorter				0	n/a	n/a	n/a
379	judgement-seat				0	n/a	n/a	n/a
379	tribunal				0	n/a	n/a	n/a
380	between				0	n/a	n/a	n/a
380	among				0	n/a	n/a	n/a
381	Bethesda				0	n/a	n/a	n/a
382	Bethlehem				0	n/a	n/a	n/a
383	Mesopotamia				0	n/a	n/a	n/a
384	Bethany				0	n/a	n/a	n/a
385	Bethphage				0	n/a	n/a	n/a
386	Bethsaida				0	n/a	n/a	n/a
387	lodge				0	n/a	n/a	n/a
387	remain				0	n/a	n/a	n/a
388	prison				0	n/a	n/a	n/a
389	house				0	n/a	n/a	n/a
389	abode				0	n/a	n/a	n/a
390	weep				0	n/a	n/a	n/a
391	weeping				0	n/a	n/a	n/a
392	weeping				0	n/a	n/a	n/a
393	first-born				0	n/a	n/a	n/a
394	birthright				0	n/a	n/a	n/a
394	primogeniture	right of			0	n/a	n/a	n/a
395	early		(rain season)		0	n/a	n/a	n/a
395	first	the			0	n/a	n/a	n/a
396	first	be			0	n/a	n/a	n/a
397	old	become			0	n/a	n/a	n/a
398	old				0	n/a	n/a	n/a
398	worn out				0	n/a	n/a	n/a
399	muzzle				0	n/a	n/a	n/a
400	Blastus				0	n/a	n/a	n/a
401	fish-hook				0	n/a	n/a	n/a
402	swallow		up		0	n/a	n/a	n/a
402	struck	be			0	n/a	n/a	n/a
402	beaten	be			0	n/a	n/a	n/a
402	smitten	be			0	n/a	n/a	n/a
403	without				0	n/a	n/a	n/a
403	apart from				0	n/a	n/a	n/a
404	Balaam				0	n/a	n/a	n/a
405	sprout				0	n/a	n/a	n/a
406	Balak				0	n/a	n/a	n/a
407	build				0	n/a	n/a	n/a
408	builder				0	n/a	n/a	n/a
409	edification				0	n/a	n/a	n/a
409	building				0	n/a	n/a	n/a
410	Boanerges				0	n/a	n/a	n/a
411	Benjamin		(the tribe)		0	n/a	n/a	n/a
412	despise				0	n/a	n/a	n/a
412	despise				0	n/a	n/a	n/a
412	neglect				0	n/a	n/a	n/a
413	cushion				0	n/a	n/a	n/a
413	pillow				1	n/a	n/a	n/a
414	pleasure				0	n/a	n/a	n/a
414	luxury				0	n/a	n/a	n/a
415	pleasant				0	n/a	n/a	n/a
415	mild				0	n/a	n/a	n/a
	easy				0	n/a	n/a	n/a
415	kindly				0	n/a	n/a	n/a
	benign				0	n/a	n/a	n/a
415	sweet		(smell)		0	n/a	n/a	n/a
415	fair		(of speech)		0	n/a	n/a	n/a
416	gladly				0	n/a	n/a	n/a
416	readily				0	n/a	n/a	n/a
