lexeme	seyame	word_type	grammatical_category	rest	first_suffix	second_suffix	third_suffix	prefix	first_vowel	second_vowel	third_vowel	fourth_vowel	num_vowels	radical_type	verbal_conjugation	root	root_seyame	root_type	ety_language	ety_type	ety_rest
>KWL>	0	normal	adjective	0	n/a	n/a	n/a	n/a	o	u	n/a	n/a	2	tri	peal	>KL	0	normal			
>KL	0	normal	verb	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>KL	0	normal			
>KL-QRY>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	compound	peal	>KL	0	normal			
BXJR>	0	normal	participle_adjective	0	oNoA	n/a	n/a	n/a	n/a	i	n/a	n/a	1	tri	peal	BXR	0	normal			
>KL>	0	normal	noun	0	n/a	n/a	n/a	n/a	o	n/a	n/a	n/a	1	tri	peal	>KL	0	normal			
M>KWLT>	0	normal	noun	0	ToA	n/a	n/a	M	e	u	n/a	n/a	2	tri	peal	>KL	0	normal			
M>KL-QRY>	0	normal	idiom	0	n/a	n/a	n/a	M	n/a	n/a	n/a	n/a	0	compound	peal	>KL	0	normal			
M>KL>	0	normal	noun	0	n/a	n/a	n/a	M	e	n/a	n/a	n/a	1	tri	peal	>KL	0	normal			
>KLWS	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>KLWS	0	bracketed	greek	normal	0
>WKM>	0	normal	adjective	0	n/a	n/a	n/a	n/a	u	o	n/a	n/a	2	tri	pael	>KM	0	normal			
>KM	0	normal	verb	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>KM	0	normal			
>KSNJ>	0	normal	adjective	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>KSNJ>	0	bracketed	greek	normal	0
>KJP>JT	0	normal	adverb_AiYT	1004	n/a	n/a	oAiYT	n/a	a	i	n/a	n/a	2	tri	peal	>KP	0	normal			
>KP	0	normal	verb	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>KP	0	normal			
>KR>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>KR	0	parethesied			
>KT>	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>KT>	0	parethesied			
>L>	0	normal	particle	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>L>	0	normal			
>L>	0	normal	verb	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>L>	0	normal			
>LJ>	0	normal	noun	0	n/a	n/a	n/a	n/a	e	n/a	n/a	n/a	1	tri	peal	>L>	0	normal			
>LH>	0	normal	noun	0	n/a	n/a	n/a	n/a	a	o	n/a	n/a	2	tri	n/a	>LH	0	normal			
>LHWT>	0	normal	noun	0	n/a	n/a	uOToA	n/a	a	o	n/a	n/a	2	tri	n/a	>LH	0	normal			
>LHJ>	0	normal	adjective	0	YoA	n/a	n/a	n/a	a	o	n/a	n/a	2	tri	n/a	>LH	0	normal			
>LHT>	0	normal	noun	0	YoA	n/a	n/a	n/a	a	o	n/a	n/a	2	tri	n/a	>LH	0	normal			
>LW	0	normal	particle	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>LW	0	normal			
>LWMWS	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>LWMWS	0	normal			
>LWMP>	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>LWMP>	0	normal			
>LWRJQWN	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>LWRJQWN	0	normal			
>LJ>	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>LJ>	0	normal			
>LJWD	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>LJWD	0	normal			
>LJ<ZR	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>LJ<ZR	0	normal			
>LJ<ZR	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>LJ<ZR	0	normal			
>LJQJM	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>LJQJM	0	normal			
>LJCB<	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>LJCB<	0	normal			
>LJC<	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>LJC<	0	normal			
>LKSNDRWS	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>LKSNDRWS	0	normal			
>LKSNDRJ>	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>LKSNDRJ>	0	bracketed			
>LKSNDRJ>	0	normal	adjective_of_place	0	YoA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>LKSNDRJ>	0	bracketed			
>LMWDD	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>LMWDD	0	normal			
>LNJ>	0	normal	adjective_of_place	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>LNJ>	0	bracketed			
>LP	0	normal	noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>LP	0	normal			
>LP>	0	normal	numeral	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>LP	0	normal			
>LP>	0	normal	noun	0	n/a	n/a	n/a	n/a	e	n/a	n/a	n/a	1	tri	n/a	>LP	0	normal			
>LPR>	0	normal	noun	0	oRoA	n/a	n/a	n/a	e	n/a	n/a	n/a	1	tri	n/a	>LP	0	normal			
>WLYN>	0	normal	noun	0	oNoA	n/a	n/a	n/a	u	n/a	n/a	n/a	1	tri	peal	>LY	0	normal			
>LWY>	0	normal	noun	0	n/a	n/a	n/a	n/a	o	u	n/a	n/a	2	tri	peal	>LY	0	normal			
>LJY>	0	normal	participle_adjective	0	n/a	n/a	n/a	n/a	a	i	n/a	n/a	2	tri	peal	>LY	0	normal			
>LY	0	normal	verb	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>LY	0	normal			
>WMT>	0	normal	noun	0	ToA	n/a	n/a	n/a	u	n/a	n/a	n/a	1	bi	n/a	>M	0	normal			
>M>	0	normal	noun	0	n/a	n/a	n/a	n/a	e	n/a	n/a	n/a	1	bi	n/a	>M	0	normal			
>MWN	0	normal	proper_noun	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>MWN	0	normal			
>MWTSS	0	normal	noun	1004	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	n/a	n/a	>MWTSVWS	0	bracketed	greek	normal	0
