	ܩܫܝܫ	http://syriaca.org/person/2032
Elijah	[Syriac Not Available]	http://syriaca.org/person/1218
Elijah	ܐܠܝܐ	http://syriaca.org/person/1705
Elijah	ܐܠܝܐ	http://syriaca.org/person/1699
Elijah	ܐܠܝܐ	http://syriaca.org/person/1700
Elijah	ܐܠܝܐ	http://syriaca.org/person/3145
Elijah	[Syriac Not Available]	http://syriaca.org/person/1701
Elijah, friend of the virgins	ܐܠܝܐ	http://syriaca.org/person/1703
Elijah of Dara	ܐܠܝܐ	http://syriaca.org/person/1704
Elijah of Hirta	[Syriac Not Available]	http://syriaca.org/person/1221
Elijah the Solitary	ܐܠܝܐ	http://syriaca.org/person/1698
Elijah the Younger of Heliopolis	[Syriac Not Available]	http://syriaca.org/person/1222
Elisha of Garbiya	[Syriac Not Available]	http://syriaca.org/person/1223
Elisha of Tanhir	[Syriac Not Available]	http://syriaca.org/person/1224
Elpidiphorus	[Syriac Not Available]	http://syriaca.org/person/1225
